epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.7573,2.11072,0.63814,0.98778,1.33789,0.000235712,0.000235712,0.000235712
2,40.5776,1.03431,0.94866,1,0.23815,0.000426814,0.000426814,0.000426814
3,60.6679,0.46404,0.978,1,0.11022,0.000570793,0.000570793,0.000570793
4,79.1165,0.30879,0.97066,1,0.0906,0.000501942,0.000501942,0.000501942
5,96.7836,0.21117,0.98044,1,0.08025,0.000431256,0.000431256,0.000431256
6,116.668,0.19742,0.978,1,0.06227,0.00036057,0.00036057,0.00036057
7,134.946,0.17193,0.98778,1,0.04857,0.000289884,0.000289884,0.000289884
8,153.656,0.14729,0.98778,1,0.04914,0.000219198,0.000219198,0.000219198
9,173.399,0.13256,0.98533,1,0.04999,0.000148512,0.000148512,0.000148512
10,191.568,0.1314,0.98778,1,0.0429,7.7826e-05,7.7826e-05,7.7826e-05
