epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.6424,0.09773,0.98044,1,0.03741,0.0001785,0.0001785,0.0001785
2,39.9424,0.10422,0.98778,1,0.03321,0.000346115,0.000346115,0.000346115
3,57.9654,0.09523,0.98533,1,0.04565,0.000495352,0.000495352,0.000495352
4,76.3299,0.11507,0.97311,0.99756,0.10191,0.000607971,0.000607971,0.000607971
5,93.597,0.11211,0.97555,1,0.06401,0.000572628,0.000572628,0.000572628
6,110.745,0.12132,0.96577,1,0.06934,0.000537285,0.000537285,0.000537285
7,128.335,0.11514,0.99022,1,0.03043,0.000501942,0.000501942,0.000501942
8,146.229,0.08802,0.98778,1,0.03554,0.000466599,0.000466599,0.000466599
9,163.157,0.08376,0.98778,1,0.03527,0.000431256,0.000431256,0.000431256
10,180.817,0.09036,0.978,1,0.06434,0.000395913,0.000395913,0.000395913
11,200.093,0.08564,0.98533,1,0.0451,0.00036057,0.00036057,0.00036057
12,217.914,0.08163,0.98289,1,0.02561,0.000325227,0.000325227,0.000325227
13,235.122,0.0712,0.98533,1,0.02433,0.000289884,0.000289884,0.000289884
14,252.584,0.07506,0.99022,1,0.02589,0.000254541,0.000254541,0.000254541
15,270.999,0.06244,0.98533,1,0.05271,0.000219198,0.000219198,0.000219198
16,288.406,0.05693,0.99267,1,0.02046,0.000183855,0.000183855,0.000183855
17,305.961,0.05988,0.99267,1,0.02458,0.000148512,0.000148512,0.000148512
18,323.55,0.06403,0.99022,1,0.02573,0.000113169,0.000113169,0.000113169
19,342.614,0.04901,0.99267,1,0.02446,7.7826e-05,7.7826e-05,7.7826e-05
20,359.558,0.06399,0.99022,1,0.03043,4.2483e-05,4.2483e-05,4.2483e-05
