epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.0471,2.19893,0.51345,0.92176,1.8667,0.0001785,0.0001785,0.0001785
2,41.1946,1.46108,0.83374,0.99511,0.56165,0.00035693,0.00035693,0.00035693
3,62.0006,0.53322,0.97066,0.99756,0.1506,0.000528009,0.000528009,0.000528009
4,81.0403,0.2345,0.96333,1,0.12802,0.000671588,0.000671588,0.000671588
5,99.8736,0.15943,0.978,0.99756,0.07282,0.000657451,0.000657451,0.000657451
6,121.289,0.16943,0.97066,0.99756,0.07555,0.000643314,0.000643314,0.000643314
7,139.827,0.16086,0.978,1,0.02834,0.000629177,0.000629177,0.000629177
8,161.02,0.11605,0.99267,0.99756,0.03696,0.00061504,0.00061504,0.00061504
9,180.424,0.09636,0.96822,1,0.07076,0.000600902,0.000600902,0.000600902
10,199.741,0.10295,0.99022,1,0.03078,0.000586765,0.000586765,0.000586765
11,218.951,0.11874,0.98289,1,0.05967,0.000572628,0.000572628,0.000572628
12,237.498,0.11281,0.99022,1,0.03125,0.000558491,0.000558491,0.000558491
13,257.614,0.07733,0.99022,1,0.03142,0.000544354,0.000544354,0.000544354
14,276.778,0.0801,0.98044,1,0.04163,0.000530216,0.000530216,0.000530216
15,295.526,0.05642,0.98778,1,0.0409,0.000516079,0.000516079,0.000516079
16,315.013,0.08667,0.978,0.99756,0.04718,0.000501942,0.000501942,0.000501942
17,333.745,0.07512,0.98533,1,0.03086,0.000487805,0.000487805,0.000487805
18,352.846,0.06199,0.99022,1,0.03229,0.000473668,0.000473668,0.000473668
19,372.73,0.05576,0.98533,1,0.04467,0.00045953,0.00045953,0.00045953
20,391.394,0.07878,0.98289,1,0.04025,0.000445393,0.000445393,0.000445393
21,411.321,0.05957,0.99022,1,0.02362,0.000431256,0.000431256,0.000431256
22,431.04,0.05756,0.99022,1,0.02233,0.000417119,0.000417119,0.000417119
23,452.45,0.048,0.99267,1,0.02207,0.000402982,0.000402982,0.000402982
24,472.11,0.04853,0.99022,1,0.01795,0.000388844,0.000388844,0.000388844
25,490.646,0.05012,0.99511,1,0.01978,0.000374707,0.000374707,0.000374707
26,511.336,0.05486,0.99267,1,0.02149,0.00036057,0.00036057,0.00036057
27,529.639,0.05669,0.99267,1,0.02354,0.000346433,0.000346433,0.000346433
28,549.262,0.04243,0.99267,1,0.02494,0.000332296,0.000332296,0.000332296
29,568.614,0.05441,0.99267,1,0.01668,0.000318158,0.000318158,0.000318158
30,586.912,0.04582,0.99511,1,0.01418,0.000304021,0.000304021,0.000304021
31,607.658,0.05001,0.99511,1,0.02258,0.000289884,0.000289884,0.000289884
32,627.015,0.05955,0.98533,1,0.01604,0.000275747,0.000275747,0.000275747
33,646.202,0.0407,0.99022,1,0.02108,0.00026161,0.00026161,0.00026161
34,665.825,0.03489,0.99267,1,0.01999,0.000247472,0.000247472,0.000247472
35,684.434,0.04109,0.99267,1,0.0411,0.000233335,0.000233335,0.000233335
36,704.003,0.04122,0.99022,1,0.02512,0.000219198,0.000219198,0.000219198
37,722.06,0.03654,0.99022,1,0.01372,0.000205061,0.000205061,0.000205061
38,740.969,0.03087,0.99267,1,0.01015,0.000190924,0.000190924,0.000190924
39,760.56,0.04374,0.99022,1,0.0125,0.000176786,0.000176786,0.000176786
40,779.21,0.03746,0.99511,1,0.01368,0.000162649,0.000162649,0.000162649
41,801.343,0.03751,0.99756,1,0.00739,0.000148512,0.000148512,0.000148512
42,820.931,0.03933,0.99756,1,0.00728,0.000134375,0.000134375,0.000134375
43,839.944,0.04007,0.99511,1,0.0076,0.000120238,0.000120238,0.000120238
44,860.282,0.03155,0.99511,1,0.0089,0.0001061,0.0001061,0.0001061
45,878.779,0.032,0.99511,1,0.01216,9.19632e-05,9.19632e-05,9.19632e-05
46,897.396,0.02506,0.99511,1,0.01028,7.7826e-05,7.7826e-05,7.7826e-05
47,916.935,0.02583,0.99267,1,0.02371,6.36888e-05,6.36888e-05,6.36888e-05
48,935.464,0.03379,0.99511,1,0.01248,4.95516e-05,4.95516e-05,4.95516e-05
49,954.713,0.02258,0.99511,1,0.01144,3.54144e-05,3.54144e-05,3.54144e-05
50,973.65,0.04238,0.99511,1,0.01203,2.12772e-05,2.12772e-05,2.12772e-05
